建物名,駅からの距離,家賃,間取り,面積
Ｋ’ＳIII,ＪＲ京浜東北線/大井町駅 歩14分,5.7,1K,16.1
大井パレス,ＪＲ京浜東北線/大井町駅 歩6分,6.0,1K,18.37
昭栄ハウス,ＪＲ京浜東北線/大井町駅 歩7分,8.0,1K,23.0
東急大井町線 下神明駅 4階建 築40年,東急大井町線/下神明駅 歩5分,5.0,ワンルーム,14.17
ＪＲ京浜東北線 大井町駅 9階建 築16年,ＪＲ京浜東北線/大井町駅 歩10分,8.4,1K,20.8
コンフォートゼームス坂,ＪＲ京浜東北線/大井町駅 歩11分,7.8,1K,19.4
東急大井町線 下神明駅 2階建 築38年,東急大井町線/下神明駅 歩4分,6.5,ワンルーム,17.4
MMM,ＪＲ京浜東北線/大井町駅 歩8分,6.1,1K,18.0
ドルチェやの,ＪＲ京浜東北線/大井町駅 歩8分,8.0,ワンルーム,20.0
大崎Tマンション,ＪＲ京浜東北線/大井町駅 歩10分,6.5,1K,17.38
Ｋ’ｓII,ＪＲ京浜東北線/大井町駅 歩15分,5.7,1K,16.12
ウィル,東急大井町線/大井町駅 歩7分,6.2,ワンルーム,18.0
グレース大井,ＪＲ京浜東北線/大井町駅 歩10分,6.4,ワンルーム,17.4
ＪＲ京浜東北線 大井町駅 地下1地上5階建 築38年,ＪＲ京浜東北線/大井町駅 歩10分,5.2,ワンルーム,16.0
ハイツ大井町,ＪＲ京浜東北線/大井町駅 歩5分,6.6,ワンルーム,19.45
レオパレス橋本,東急大井町線/大井町駅 歩10分,6.3,1K,16.32
ＪＲ京浜東北線 大井町駅 2階建 築39年,ＪＲ京浜東北線/大井町駅 歩7分,6.5,ワンルーム,21.93
コパーズアプト大井,ＪＲ京浜東北線/大井町駅 歩8分,6.3,ワンルーム,16.01
メゾン・ド・リュビ,東急大井町線/下神明駅 歩2分,5.7,ワンルーム,23.92
ＪＲ京浜東北線 大井町駅 4階建 築40年,ＪＲ京浜東北線/大井町駅 歩13分,5.5,ワンルーム,13.12
ビアメゾン品川,東急大井町線/下神明駅 歩4分,6.5,ワンルーム,21.67
メゾン・ド・イザール,東急大井町線/下神明駅 歩5分,5.8,ワンルーム,14.04
ドゥーエ青物横丁,ＪＲ京浜東北線/大井町駅 歩12分,10.3,1K,20.52
ＢＥＬＬＥ　ＳＩＯＮ　ＩＴＯ,ＪＲ京浜東北線/大井町駅 歩6分,6.5,ワンルーム,20.05
ショウキン東大井ハイツ,ＪＲ京浜東北線/大井町駅 歩10分,6.3,1K,20.46
JLBグランエクリュ大井町III,ＪＲ京浜東北線/大井町駅 歩6分,6.9,1K,17.16
ハウスメントI,ＪＲ京浜東北線/大井町駅 歩9分,6.3,ワンルーム,17.39
ＪＲ京浜東北線 大井町駅 9階建 築34年,ＪＲ京浜東北線/大井町駅 歩4分,6.4,ワンルーム,20.6
ハウスオーガタ,ＪＲ京浜東北線/大井町駅 歩11分,6.9,ワンルーム,23.0
プラザ大井,ＪＲ京浜東北線/大井町駅 歩8分,5.9,1K,12.42
ドエルイン大井町,東急大井町線/大井町駅 歩3分,6.4,ワンルーム,20.6
グランカーサ伊藤,ＪＲ京浜東北線/大井町駅 歩10分,7.1,1K,21.0
Apple House,ＪＲ京浜東北線/大井町駅 歩8分,7.2,ワンルーム,18.5
アーバンライト,東急大井町線/大井町駅 歩9分,6.6,1K,20.21
ＪＲ京浜東北線 大井町駅 3階建 築36年,ＪＲ京浜東北線/大井町駅 歩7分,6.6,1K,20.21
グランベーネ,ＪＲ京浜東北線/大井町駅 歩7分,7.5,ワンルーム,20.79
ハイツ芳翠,東急大井町線/下神明駅 歩6分,6.9,ワンルーム,21.6
サンハイム,ＪＲ京浜東北線/大井町駅 歩7分,6.6,ワンルーム,19.3
レオパレス冨士,ＪＲ京浜東北線/大井町駅 歩5分,9.9,1K,19.87
りんかい線 品川シーサイド駅 2階建 築17年,りんかい線/品川シーサイド駅 歩5分,9.9,1K,19.87
アーバングレイス,ＪＲ京浜東北線/大井町駅 歩8分,4.8,ワンルーム,13.8
メゾン大井,ＪＲ京浜東北線/大井町駅 歩14分,5.8,1K,18.0
サンハイツ関口,ＪＲ京浜東北線/大井町駅 歩7分,7.5,1K,21.6
ＪＲ京浜東北線 大井町駅 5階建 築20年,ＪＲ京浜東北線/大井町駅 歩6分,8.3,1K,21.0
ＪＲ京浜東北線 大井町駅 9階建 築6年,ＪＲ京浜東北線/大井町駅 歩16分,10.5,1K,22.33
ＪＲ京浜東北線 大井町駅 2階建 築43年,ＪＲ京浜東北線/大井町駅 歩5分,4.8,1K,20.52
ルーミー東大井,ＪＲ京浜東北線/大井町駅 歩14分,7.4,1K,19.87
ＪＲ京浜東北線 大井町駅 3階建 築28年,ＪＲ京浜東北線/大井町駅 歩9分,7.5,1K,22.28
ＪＲ京浜東北線 大井町駅 3階建 築29年,ＪＲ京浜東北線/大井町駅 歩9分,7.4,1K,21.8
スカイコート品川第3,東急大井町線/下神明駅 歩4分,5.0,ワンルーム,10.92
ＪＲ京浜東北線 大井町駅 4階建 築34年,ＪＲ京浜東北線/大井町駅 歩8分,6.4,1K,16.39
ＪＲ京浜東北線 大井町駅 2階建 築31年,ＪＲ京浜東北線/大井町駅 歩12分,6.7,1K,19.6
パラシオン,ＪＲ京浜東北線/大井町駅 歩12分,6.7,1K,19.6
ＪＲ京浜東北線 大井町駅 5階建 築41年,ＪＲ京浜東北線/大井町駅 歩6分,5.8,ワンルーム,13.5
東急大井町線 下神明駅 3階建 築38年,東急大井町線/下神明駅 歩4分,5.0,ワンルーム,10.92
コスモ大井町,ＪＲ京浜東北線/大井町駅 歩3分,8.0,1K,21.73
TNハイム,東急大井町線/下神明駅 歩8分,5.9,1K,14.3
東急大井町線 大井町駅 2階建 築34年,東急大井町線/大井町駅 歩7分,6.2,ワンルーム,18.0
りんかい線 天王洲アイル駅 9階建 築19年,りんかい線/天王洲アイル駅 歩9分,9.1,1K,21.48
ＪＲ京浜東北線 大井町駅 2階建 築34年,ＪＲ京浜東北線/大井町駅 歩15分,5.5,ワンルーム,12.46
ストーク中村,ＪＲ京浜東北線/大井町駅 歩5分,8.0,1K,16.52
ルーブル南品川,ＪＲ京浜東北線/大井町駅 歩13分,8.5,1K,20.3
カトロT,ＪＲ京浜東北線/大井町駅 歩10分,6.5,ワンルーム,21.0
パナサンハイツII,ＪＲ京浜東北線/大井町駅 歩7分,6.9,ワンルーム,21.9
ハイツトモハル,東急大井町線/下神明駅 歩7分,6.0,ワンルーム,10.3
ＪＲ京浜東北線 大井町駅 5階建 築31年,ＪＲ京浜東北線/大井町駅 歩10分,7.3,ワンルーム,20.01
リンブルックハイツ,ＪＲ京浜東北線/大井町駅 歩7分,5.3,ワンルーム,16.0
ルーブル大井町参番館,ＪＲ京浜東北線/大井町駅 歩4分,9.4,1K,20.55
ＪＲ京浜東北線 大井町駅 6階建 築32年,ＪＲ京浜東北線/大井町駅 歩8分,7.2,1K,16.24
ＪＲ京浜東北線 大井町駅 7階建 築34年,ＪＲ京浜東北線/大井町駅 歩5分,8.0,1K,16.52
ＪＲ京浜東北線 大井町駅 3階建 築39年,ＪＲ京浜東北線/大井町駅 歩6分,6.5,1K,19.82
ラ・カーサ・ボニータ,ＪＲ京浜東北線/大井町駅 歩6分,6.5,1K,18.57
ＪＲ京浜東北線 大井町駅 3階建 築38年,ＪＲ京浜東北線/大井町駅 歩7分,8.3,1K,20.43
ＪＬＢグランエクリュ大井町,ＪＲ京浜東北線/大井町駅 歩6分,6.9,1K,17.16
グリーンヒルズ,ＪＲ京浜東北線/大井町駅 歩4分,7.0,1K,19.83
ＪＲ京浜東北線 大井町駅 2階建 築33年,ＪＲ京浜東北線/大井町駅 歩14分,5.5,ワンルーム,19.87
ＪＲ京浜東北線 大井町駅 7階建 築40年,ＪＲ京浜東北線/大井町駅 歩4分,7.9,1K,22.2
東急大井町線 下神明駅 4階建 築35年,東急大井町線/下神明駅 歩10分,8.0,1K,21.33
東急大井町線 下神明駅 地下1地上3階建 築38年,東急大井町線/下神明駅 歩6分,6.9,ワンルーム,21.6
河村荘,ＪＲ京浜東北線/大井町駅 歩7分,6.5,1K,18.0
ドルチェ品川,ＪＲ京浜東北線/大井町駅 歩4分,6.9,1K,19.95
メゾンHIRO,東急大井町線/下神明駅 歩4分,7.5,1K,22.06
クニエダマンション,ＪＲ京浜東北線/大井町駅 歩10分,7.0,1K,21.06
ＪＲ京浜東北線 大井町駅 3階建 築34年,ＪＲ京浜東北線/大井町駅 歩10分,7.0,1K,21.06
メイクスデザイン大井町,ＪＲ京浜東北線/大井町駅 歩10分,8.7,ワンルーム,22.0
アーバネックス南品川,ＪＲ京浜東北線/大井町駅 歩15分,10.4,1K,20.64
小島ハイツ,ＪＲ京浜東北線/大井町駅 歩5分,7.5,ワンルーム,20.0
ドエルイン大井町,ＪＲ京浜東北線/大井町駅 歩3分,6.4,ワンルーム,20.6
ＪＲ京浜東北線 大井町駅 9階建 築34年,ＪＲ京浜東北線/大井町駅 歩3分,6.4,ワンルーム,20.6
グロワール東大井,ＪＲ京浜東北線/大井町駅 歩10分,7.3,1K,18.8
スカイコート品川仙台坂,ＪＲ京浜東北線/大井町駅 歩5分,8.62,1K,20.89
ＪＲ京浜東北線 大井町駅 地下1地上14階建 築32年,ＪＲ京浜東北線/大井町駅 歩11分,7.0,ワンルーム,20.98
Terrazza Est,ＪＲ京浜東北線/大井町駅 歩11分,7.0,ワンルーム,20.98
グリフィン品川大井,ＪＲ京浜東北線/大井町駅 歩10分,8.6,1K,22.27
ＪＲ京浜東北線 大井町駅 13階建 築21年,ＪＲ京浜東北線/大井町駅 歩10分,8.6,1K,22.27
ＪＲ京浜東北線 大井町駅 7階建 築15年,ＪＲ京浜東北線/大井町駅 歩10分,8.5,1K,21.02
ＪＲ京浜東北線 大井町駅 9階建 築14年,ＪＲ京浜東北線/大井町駅 歩4分,9.4,1K,20.55
ＪＲ京浜東北線 大井町駅 3階建 築23年,ＪＲ京浜東北線/大井町駅 歩12分,8.9,1K,19.87
プレール・ドゥーク東品川,東京モノレール/天王洲アイル駅 歩8分,9.0,1K,22.72
ＪＲ京浜東北線 大井町駅 2階建 築22年,ＪＲ京浜東北線/大井町駅 歩14分,7.8,1K,23.23
ハイムイケダ,ＪＲ京浜東北線/大井町駅 歩8分,7.0,ワンルーム,17.72
Espacio,東急大井町線/下神明駅 歩3分,7.5,1K,20.0
グランヴァン大井町2,ＪＲ京浜東北線/大井町駅 歩6分,7.7,1K,23.25
りんかい線 大井町駅 8階建 築23年,りんかい線/大井町駅 歩6分,8.9,1K,23.25
昴,ＪＲ京浜東北線/大井町駅 歩5分,6.3,ワンルーム,19.28
ＪＲ京浜東北線 大井町駅 2階建 築35年,ＪＲ京浜東北線/大井町駅 歩5分,6.3,ワンルーム,19.28
パークキューブ大井町,東急大井町線/大井町駅 歩5分,9.9,1K,20.49
レリーフハイムＢ棟,ＪＲ京浜東北線/大井町駅 歩6分,6.5,ワンルーム,12.33
ベルパレス,ＪＲ京浜東北線/大井町駅 歩5分,6.9,ワンルーム,16.0
ＪＲ京浜東北線 大井町駅 地下1地上4階建 築33年,ＪＲ京浜東北線/大井町駅 歩7分,7.5,ワンルーム,20.79
ガーデンプラザ,ＪＲ京浜東北線/大井町駅 歩3分,7.1,ワンルーム,19.87
大井ハイツ,ＪＲ京浜東北線/大井町駅 歩8分,6.8,ワンルーム,17.11
レオパレス俊,東急大井町線/下神明駅 歩5分,8.9,1K,19.87
ＪＲ京浜東北線 大井町駅 2階建 築17年,ＪＲ京浜東北線/大井町駅 歩10分,7.8,1K,20.52
りんかい線 大井町駅 2階建 築22年,りんかい線/大井町駅 歩12分,8.4,1K,22.72
ＪＲ京浜東北線 大井町駅 2階建 築34年,ＪＲ京浜東北線/大井町駅 歩5分,6.5,ワンルーム,12.33
プチ・タムラ,東急大井町線/下神明駅 歩2分,7.3,ワンルーム,20.9
ＪＲ京浜東北線 大井町駅 4階建 築30年,ＪＲ京浜東北線/大井町駅 歩10分,6.0,1K,19.36
Fika大井町,ＪＲ京浜東北線/大井町駅 歩6分,8.3,ワンルーム,21.17
ＪＲ京浜東北線 大井町駅 3階建 築18年,ＪＲ京浜東北線/大井町駅 歩10分,9.3,1K,19.87
ＪＲ京浜東北線 大井町駅 6階建 築19年,ＪＲ京浜東北線/大井町駅 歩15分,7.8,1K,20.15
アレイハウス,ＪＲ京浜東北線/大井町駅 歩8分,7.5,1K,20.7
ＪＲ京浜東北線 大井町駅 3階建 築24年,ＪＲ京浜東北線/大井町駅 歩10分,7.5,1K,20.7
日神パレステージ大井町,ＪＲ京浜東北線/大井町駅 歩5分,7.1,1K,18.21
東急大井町線 大井町駅 8階建 築28年,東急大井町線/大井町駅 歩4分,7.1,1K,18.21
ＪＲ京浜東北線 大井町駅 6階建 築12年,ＪＲ京浜東北線/大井町駅 歩3分,9.5,1K,20.49
ＪＲ京浜東北線 大井町駅 15階建 築22年,ＪＲ京浜東北線/大井町駅 歩10分,8.4,1K,20.03
アイディ品川,ＪＲ京浜東北線/大井町駅 歩10分,8.0,1K,20.05
ＪＲ京浜東北線 大井町駅 8階建 築12年,ＪＲ京浜東北線/大井町駅 歩9分,9.5,ワンルーム,22.73
クレイシア品川東大井,ＪＲ京浜東北線/大井町駅 歩14分,8.0,1K,20.64
ＪＲ京浜東北線 大井町駅 15階建 築9年,ＪＲ京浜東北線/大井町駅 歩12分,8.0,1K,20.64
ＪＲ京浜東北線 大井町駅 2階建 築27年,ＪＲ京浜東北線/大井町駅 歩12分,6.0,ワンルーム,14.0
ＪＲ京浜東北線 大井町駅 2階建 築16年,ＪＲ京浜東北線/大井町駅 歩10分,8.3,1K,21.9
ＪＲ京浜東北線 大井町駅 2階建 築22年,ＪＲ京浜東北線/大井町駅 歩10分,6.0,ワンルーム,13.0
ＬＥＧＡＬＡＮＤ大井町ｗｅｓｔ,りんかい線/大井町駅 歩15分,7.4,ワンルーム,20.89
ル・リオン品川二葉,ＪＲ京浜東北線/大井町駅 歩13分,8.45,1K,24.79
ヴェローナ大井南ルッソグランデ,ＪＲ京浜東北線/大井町駅 歩20分,8.0,1K,21.78
ＪＲ京浜東北線 大井町駅 9階建 築24年,ＪＲ京浜東北線/大井町駅 歩6分,7.9,ワンルーム,19.13
りんかい線 品川シーサイド駅 11階建 築7年,りんかい線/品川シーサイド駅 歩6分,11.5,1K,20.06
レクトピア,ＪＲ京浜東北線/大井町駅 歩5分,7.9,ワンルーム,20.0
マローハイツ,ＪＲ京浜東北線/大井町駅 歩8分,6.0,ワンルーム,15.0
ＪＲ京浜東北線 大井町駅 5階建 築23年,ＪＲ京浜東北線/大井町駅 歩15分,8.2,1K,21.09
ＪＲ京浜東北線 大井町駅 8階建 築18年,ＪＲ京浜東北線/大井町駅 歩13分,8.5,1K,20.3
ガーラ・ヴィスタ大井仙台坂,ＪＲ京浜東北線/大井町駅 歩5分,9.4,1K,20.24
ワイハウス,ＪＲ京浜東北線/大井町駅 歩8分,8.5,ワンルーム,24.4
ＪＲ京浜東北線 大井町駅 14階建 築17年,ＪＲ京浜東北線/大井町駅 歩5分,9.9,1K,20.49
ブライズ品川南ルリオン,ＪＲ京浜東北線/大井町駅 歩18分,8.1,1K,21.6
ディームス大井町フォレスト,ＪＲ京浜東北線/大井町駅 歩9分,11.5,ワンルーム,23.34
ＪＲ京浜東北線 大井町駅 3階建 築8年,ＪＲ京浜東北線/大井町駅 歩11分,8.4,1K,22.5
ＪＲ京浜東北線 大井町駅 4階建 築14年,ＪＲ京浜東北線/大井町駅 歩5分,8.3,1K,20.7
ＪＲ京浜東北線 大井町駅 13階建 築8年,ＪＲ京浜東北線/大井町駅 歩11分,10.0,1K,22.69
アイディ品川25,ＪＲ京浜東北線/大井町駅 歩9分,10.0,1K,22.69
Ｇｒａｎｄｅ　Ｏｉｍａｃｈｉ,ＪＲ京浜東北線/大井町駅 歩10分,7.2,ワンルーム,20.01
アイディ品川II,ＪＲ京浜東北線/大井町駅 歩14分,7.5,1K,15.37
ガーデンコート２６,東急大井町線/下神明駅 歩2分,4.9,1K,16.7
東急大井町線 大井町駅 7階建 築13年,東急大井町線/大井町駅 歩7分,8.9,1K,22.23
ＡＸＡＳ大井町,ＪＲ京浜東北線/大井町駅 歩7分,8.9,1K,22.23
ルーブル大井町弐番館,ＪＲ京浜東北線/大井町駅 歩4分,9.4,1K,20.55
アイディ品川III,ＪＲ京浜東北線/大井町駅 歩12分,7.6,ワンルーム,17.51
イーストメゾン,東急大井町線/下神明駅 歩3分,8.9,1K,21.53
WELL　SIDE,ＪＲ京浜東北線/大井町駅 歩5分,10.8,1K,24.85
東急大井町線 下神明駅 地下1地上5階建 築7年,東急大井町線/下神明駅 歩10分,7.4,ワンルーム,20.89
ＪＳＭ大井,ＪＲ京浜東北線/大井町駅 歩10分,8.8,1K,23.37
東急大井町線 大井町駅 7階建 築19年,東急大井町線/大井町駅 歩12分,7.8,1K,21.6
コスモ大井町グレイスシティ,ＪＲ京浜東北線/大井町駅 歩5分,9.0,1K,23.37
ＪＲ京浜東北線 大井町駅 7階建 築27年,ＪＲ京浜東北線/大井町駅 歩5分,9.4,ワンルーム,14.69
ＪＲ京浜東北線 大井町駅 4階建 築20年,ＪＲ京浜東北線/大井町駅 歩13分,7.7,1K,20.07
セ　ジョリ　南品川,ＪＲ京浜東北線/大井町駅 歩9分,8.5,1K,24.22
エクセレントフラッツ品川,ＪＲ京浜東北線/大井町駅 歩12分,8.3,1K,19.38
ＪＲ京浜東北線 大井町駅 2階建 築23年,ＪＲ京浜東北線/大井町駅 歩8分,6.5,1K,20.12
パレ・ホームズ大井町,東急大井町線/大井町駅 歩10分,7.4,1K,19.83
シティタワー大井町,りんかい線/大井町駅 歩7分,11.6,ワンルーム,23.6
ＪＲ京浜東北線 大井町駅 4階建 築5年,ＪＲ京浜東北線/大井町駅 歩10分,7.2,ワンルーム,20.01
ＪＲ京浜東北線 大井町駅 14階建 築23年,ＪＲ京浜東北線/大井町駅 歩7分,9.6,1K,20.35
レオパレスＦｏｕｎｔ　Ａ,東急大井町線/下神明駅 歩5分,9.1,1K,19.87
東急大井町線 下神明駅 4階建 築18年,東急大井町線/下神明駅 歩5分,9.1,1K,19.87
東急大井町線 大井町駅 5階建 築20年,東急大井町線/大井町駅 歩10分,7.4,1K,19.83
ルーブル大井町参番館,ＪＲ京浜東北線/大井町駅 歩4分,9.6,1K,20.55
グランエッグス大崎E,東急大井町線/下神明駅 歩6分,9.2,ワンルーム,21.32
セレ南品川,ＪＲ京浜東北線/大井町駅 歩12分,7.9,1K,21.32
ＪＲ京浜東北線 大井町駅 4階建 築6年,ＪＲ京浜東北線/大井町駅 歩14分,9.7,ワンルーム,24.43
Log品川サンズ（ログ品川サンズ）,ＪＲ京浜東北線/大井町駅 歩12分,8.3,1K,20.03
ブライズ品川大井,ＪＲ京浜東北線/大井町駅 歩14分,7.9,1K,20.37
LOHAS 品川,りんかい線/天王洲アイル駅 歩8分,8.6,1K,16.6
りんかい線 天王洲アイル駅 4階建 築8年,りんかい線/天王洲アイル駅 歩10分,8.6,1K,16.6
クレイノリヒト,東急大井町線/下神明駅 歩9分,11.6,1K,24.84
ＪＲ京浜東北線 大井町駅 7階建 築16年,ＪＲ京浜東北線/大井町駅 歩13分,7.9,1K,20.37
ハピネス,東急大井町線/下神明駅 歩7分,7.8,ワンルーム,18.15
東急大井町線 下神明駅 5階建 築16年,東急大井町線/下神明駅 歩7分,8.3,1K,20.06
ＪＲ京浜東北線 大井町駅 3階建 築21年,ＪＲ京浜東北線/大井町駅 歩6分,7.5,ワンルーム,17.85
ライブズ品川,ＪＲ京浜東北線/大井町駅 歩8分,7.5,1K,15.92
ＪＲ京浜東北線 大井町駅 地下1地上5階建 築4年,ＪＲ京浜東北線/大井町駅 歩6分,8.3,ワンルーム,21.17
ＪＲ京浜東北線 大井町駅 7階建 築6年,ＪＲ京浜東北線/大井町駅 歩9分,9.9,1K,20.88
りんかい線 大井町駅 2階建 築10年,りんかい線/大井町駅 歩10分,10.3,1K,22.04
プレミアムキューブ大井町#mo,ＪＲ京浜東北線/大井町駅 歩9分,10.2,1K,20.52
グリュックリーリエ,東急大井町線/大井町駅 歩4分,8.3,1K,20.7
アーバンライフ大井町,ＪＲ京浜東北線/大井町駅 歩5分,8.2,1K,19.0
ＪＲ京浜東北線 大井町駅 14階建 築14年,ＪＲ京浜東北線/大井町駅 歩4分,10.8,1K,21.75
ＪＲ京浜東北線 大井町駅 地下2地上4階建 築4年,ＪＲ京浜東北線/大井町駅 歩9分,11.5,ワンルーム,23.34
東急大井町線 下神明駅 6階建 築6年,東急大井町線/下神明駅 歩4分,9.2,1K,21.75
ＪＲ京浜東北線 大井町駅 4階建 築14年,ＪＲ京浜東北線/大井町駅 歩4分,8.3,1K,20.7
ＪＲ京浜東北線 大井町駅 地下1地上29階建 築6年,ＪＲ京浜東北線/大井町駅 歩2分,11.6,ワンルーム,23.6
ＪＲ京浜東北線 大井町駅 11階建 築7年,ＪＲ京浜東北線/大井町駅 歩6分,9.6,1K,21.05
ＪＲ京浜東北線 大井町駅 地下1地上4階建 新築,ＪＲ京浜東北線/大井町駅 歩7分,12.5,1K,21.6
ＪＲ京浜東北線 大井町駅 10階建 築4年,ＪＲ京浜東北線/大井町駅 歩10分,9.3,1K,23.7
エステムプラザ品川大井町クリスタルヒルズ,ＪＲ京浜東北線/大井町駅 歩4分,9.75,1K,21.19
ＪＲ京浜東北線 大井町駅 2階建 築15年,ＪＲ京浜東北線/大井町駅 歩9分,6.8,ワンルーム,16.61
ＪＲ京浜東北線 大井町駅 14階建 築18年,ＪＲ京浜東北線/大井町駅 歩5分,8.7,1K,21.77
ＪＲ京浜東北線 大井町駅 3階建 築8年,ＪＲ京浜東北線/大井町駅 歩10分,8.1,ワンルーム,21.39
【セジュール大井町】,ＪＲ京浜東北線/大井町駅 歩6分,7.6,ワンルーム,19.87
ＪＲ京浜東北線 大井町駅 2階建 築18年,ＪＲ京浜東北線/大井町駅 歩5分,7.5,ワンルーム,15.02
レオネクストかず,東急大井町線/下神明駅 歩8分,7.6,1K,20.44
